geneSymbol,diseaseName
UTS2R,"Diabetes Mellitus, Type 2"
GSTT1,Diabetic Nephropathies
NPY,"Diabetes Mellitus, Type 1"
TNFRSF25,"Diabetes Mellitus, Type 1"
LEPR,"Diabetes Mellitus, Type 1"
KIR2DL4,"Diabetes Mellitus, Type 1"
RASGRP1,"Diabetes Mellitus, Type 1"
KIAA1109,"Diabetes Mellitus, Type 1"
HLA-DRB1,Diabetic Retinopathy
APOC2,"Diabetes Mellitus, Type 2"
IL4R,"Diabetes Mellitus, Type 2"
CYP11B2,"Diabetes Mellitus, Type 2"
TMEM18,"Diabetes Mellitus, Type 2"
HLA-DRB5,"Diabetes, Gestational"
ADIPOR1,Diabetes Mellitus
AKR1B10,Diabetic Retinopathy
RETN,Diabetes Mellitus
IL18,Diabetes Mellitus
SERPINE1,Diabetic Retinopathy
PPARG,Diabetic Retinopathy
GAD1,Diabetes
VEGFA,Proliferative diabetic retinopathy
CAPN10,Insulin Resistance
PON1,Insulin Resistance
NR3C1,Insulin Resistance
MTTP,Insulin Resistance
MTNR1B,Insulin Resistance
ADIPOR2,Insulin Resistance
ADIPOR1,Insulin Resistance
PNPLA3,Insulin Resistance
UCP2,Insulin Resistance
MTHFR,Insulin Resistance
IL6,Diabetes Complications
HFE,Diabetes Complications
F5,Diabetes Complications
F2,Diabetes Complications
ACE,Diabetic Neuropathies
KIR3DL2,"Diabetes Mellitus, Type 1"
ADAD1,"Diabetes Mellitus, Type 1"
PSMG2,"Diabetes Mellitus, Type 1"
FGB,"Diabetes Mellitus, Type 2"
HLA-C,"Diabetes Mellitus, Type 2"
TRNK,"Diabetes Mellitus, Type 2"
ND3,"Diabetes Mellitus, Type 2"
LCAT,"Diabetes Mellitus, Type 2"
ARMS2,"Diabetes Mellitus, Type 2"
ADAM30,"Diabetes Mellitus, Type 2"
NEGR1,"Diabetes Mellitus, Type 2"
TIMP4,"Diabetes Mellitus, Type 2"
KCNQ1,Diabetes Mellitus
IL13,"Diabetes Mellitus, Type 1"
TRIB3,"Diabetes Mellitus, Type 2"
ACE2,"Diabetes Mellitus, Type 2"
APOA5,Diabetes Mellitus
TLR4,Diabetes Mellitus
HNF1B,Diabetes
AGER,Diabetes Mellitus
HPSE,Diabetic Nephropathies
IL7R,"Diabetes Mellitus, Type 1"
CD40,"Diabetes Mellitus, Type 1"
ADA,"Diabetes Mellitus, Type 2"
EDN1,Diabetes Mellitus
HLA-A,Diabetes Mellitus
CCL5,Diabetic Nephropathies
VEGFA,Diabetic Neuropathies
SLC2A1,"Diabetes Mellitus, Type 1"
AVP,Congenital nephrogenic diabetes insipidus
HNF1B,Mason-Type Diabetes
GLUL,"Diabetes Mellitus, Type 1"
ISG20,"Diabetes Mellitus, Type 1"
AKR1B1,Diabetes Mellitus
SOD1,Diabetic Nephropathies
CCL2,"Diabetes Mellitus, Type 1"
TCF7,"Diabetes Mellitus, Type 1"
BCHE,"Diabetes Mellitus, Type 2"
AHSG,"Diabetes Mellitus, Type 2"
NRF1,"Diabetes Mellitus, Type 2"
PCK2,"Diabetes Mellitus, Type 2"
LIPC,Diabetes Mellitus
GPX1,Diabetes Mellitus
INS-IGF2,"Diabetes Mellitus, Permanent Neonatal"
ALB,"Diabetes Mellitus, Type 1"
RBP4,"Diabetes, Gestational"
ALDH2,Diabetes Mellitus
ICOS,"Diabetes Mellitus, Type 1"
FOXC2,"Diabetes Mellitus, Type 2"
BTC,"Diabetes Mellitus, Type 2"
SGK1,"Diabetes Mellitus, Type 2"
APOA2,"Diabetes Mellitus, Type 2"
IGFBP1,"Diabetes Mellitus, Type 2"
GLO1,"Diabetes Mellitus, Type 2"
CNDP1,"Diabetes Mellitus, Type 2"
SLC22A1,"Diabetes Mellitus, Type 2"
PRKAA2,"Diabetes Mellitus, Type 2"
LEPROT,"Diabetes Mellitus, Type 2"
KCNQ1,"Diabetes, Gestational"
PTPN1,Diabetes Mellitus
IFNG,"Diabetes Mellitus, Type 2"
PSMD9,"Diabetes Mellitus, Type 2"
NOS1AP,Diabetes Mellitus
HLA-DRB4,Diabetes Mellitus
ATN1,autoimmune diabetes
TXNIP,Diabetes Mellitus
MPO,Diabetic Nephropathies
IL10,Diabetic Nephropathies
ABO,"Diabetes Mellitus, Type 1"
PTPRC,"Diabetes Mellitus, Type 1"
SOCS1,"Diabetes Mellitus, Type 1"
PTEN,"Diabetes Mellitus, Type 2"
PARP1,"Diabetes Mellitus, Type 2"
ARHGEF11,"Diabetes Mellitus, Type 2"
MT1A,"Diabetes Mellitus, Type 2"
RAPGEF1,"Diabetes Mellitus, Type 2"
GHSR,"Diabetes Mellitus, Type 2"
F2,"Diabetes Mellitus, Type 2"
SELP,"Diabetes Mellitus, Type 2"
MBL2,"Diabetes Mellitus, Type 2"
IL2RA,"Diabetes Mellitus, Type 2"
STK11,"Diabetes Mellitus, Type 2"
ARAP1,"Diabetes Mellitus, Type 2"
IGF2BP2,"Diabetes, Gestational"
MOK,Diabetes Mellitus
IL1B,Diabetes Mellitus
GSTP1,Diabetes Mellitus
SDC2,Diabetic Nephropathies
SELL,"Diabetes Mellitus, Type 2"
TFAP2B,"Diabetes Mellitus, Type 2"
MGEA5,"Diabetes Mellitus, Type 2"
HLA-DRB4,Diabetes
NOS3,Diabetes
GAD1,"Diabetes Mellitus, Type 2"
CCL2,Diabetes Mellitus
FGF21,"Diabetes Mellitus, Type 2"
NAMPT,Diabetes Mellitus
THBS1,Diabetic Nephropathies
GFPT1,Diabetic Nephropathies
NR3C1,Diabetes Mellitus
SLC47A1,Diabetes Mellitus
THADA,Diabetes Mellitus
CYP3A4,Diabetes Mellitus
APOE,Diabetic Neuropathies
CYBA,"Diabetes Mellitus, Type 1"
TH,"Diabetes Mellitus, Type 1"
IRF5,"Diabetes Mellitus, Type 1"
NLRP1,"Diabetes Mellitus, Type 1"
CAPSL,"Diabetes Mellitus, Type 1"
SPP1,"Diabetes Mellitus, Type 1"
DRD2,"Diabetes Mellitus, Type 2"
STX1A,"Diabetes Mellitus, Type 2"
PYY,"Diabetes Mellitus, Type 2"
PBX1,"Diabetes Mellitus, Type 2"
NR0B2,"Diabetes Mellitus, Type 2"
ITGB3,"Diabetes Mellitus, Type 2"
NR1H2,"Diabetes Mellitus, Type 2"
TRPM6,"Diabetes Mellitus, Type 2"
TNMD,"Diabetes Mellitus, Type 2"
CACNA1E,"Diabetes Mellitus, Type 2"
BTC,"Diabetes Mellitus, Type 1"
ADIPOQ,Diabetic Retinopathy
SOD3,"Diabetes Mellitus, Type 2"
PCBD1,"Diabetes Mellitus, Type 2"
PINK1,"Diabetes Mellitus, Type 2"
PRKAB2,"Diabetes Mellitus, Type 2"
TGM2,"Diabetes Mellitus, Type 2"
HP,Diabetes
PON1,Diabetes
REN,Diabetes
SEC14L3,"Diabetes Mellitus, Type 1"
INS,Diabetic Retinopathy
GH1,Diabetes Mellitus
TNFRSF11B,Diabetes Mellitus
IDDM17,Diabetes Mellitus
PRKCB,Diabetes Mellitus
TLR2,Diabetes Mellitus
GJA1,Diabetic Nephropathies
NPPB,Diabetic Nephropathies
JAZF1,Diabetes Mellitus
SLC22A1,Diabetes Mellitus
TSPAN8,Diabetes Mellitus
SOX2,Diabetic Nephropathies
CD4,"Diabetes Mellitus, Type 1"
TAF5L,"Diabetes Mellitus, Type 1"
LPL,"Diabetes Mellitus, Type 1"
SOCS3,"Diabetes Mellitus, Type 1"
MYO9B,"Diabetes Mellitus, Type 1"
CTGF,"Diabetes Mellitus, Type 1"
TNFAIP3,"Diabetes Mellitus, Type 1"
KIR2DS2,"Diabetes Mellitus, Type 1"
IL23R,"Diabetes Mellitus, Type 1"
SOX2,"Diabetes Mellitus, Type 1"
NPY,Diabetic Retinopathy
GFPT1,"Diabetes Mellitus, Type 2"
GFPT2,"Diabetes Mellitus, Type 2"
CYP2J2,"Diabetes Mellitus, Type 2"
SPINK1,"Diabetes Mellitus, Type 2"
SDC2,"Diabetes Mellitus, Type 2"
SCARB1,"Diabetes Mellitus, Type 2"
OPRM1,"Diabetes Mellitus, Type 2"
LARS2,"Diabetes Mellitus, Type 2"
KLF7,"Diabetes Mellitus, Type 2"
FABP6,"Diabetes Mellitus, Type 2"
IL13,"Diabetes Mellitus, Type 2"
EPO,"Diabetes Mellitus, Type 2"
TRPM7,"Diabetes Mellitus, Type 2"
PLTP,"Diabetes Mellitus, Type 2"
FADS1,"Diabetes Mellitus, Type 2"
AHI1,"Diabetes Mellitus, Type 2"
PCSK9,"Diabetes Mellitus, Type 2"
SLC22A2,"Diabetes Mellitus, Type 2"
CAPN10,"Diabetes, Gestational"
NLRP3,"Diabetes Insipidus, Neurogenic"
PON1,Diabetic Angiopathies
GHRL,Diabetic Nephropathies
PLEKHH2,Diabetic Nephropathies
NPY,Diabetic Nephropathies
LRRC7,Diabetic Nephropathies
KIRREL,Diabetic Nephropathies
UCP3,Diabetic Neuropathies
PARP1,Diabetic Neuropathies
NUDT1,"Diabetes Mellitus, Type 1"
SUMO4,Diabetic Retinopathy
CMA1,"Diabetes Mellitus, Type 2"
PLA2G4A,"Diabetes Mellitus, Type 2"
PDX1,"Diabetes, Gestational"
SIRT1,Diabetes Mellitus
SLC30A10,Diabetes Mellitus
IRS1,Diabetes
AGER,Diabetic Neuropathies
IL6,Diabetic Retinopathy
NAMPT,"Diabetes, Gestational"
NOTCH2,Diabetes Mellitus
CDC123,Diabetes Mellitus
LGR5,Diabetes Mellitus
ABCB1,Diabetes Mellitus
CYP3A5,Diabetes Mellitus
ADAMTS9,Diabetes Mellitus
LEPR,Pregnancy in Diabetics
LEP,Pregnancy in Diabetics
PCSK1,Diabetic Nephropathies
HLA-DRB1,Diabetic Ketoacidosis
XYLT2,"Diabetes Mellitus, Type 1"
HNF1B,"Diabetes Mellitus, Type 1"
MSH5,"Diabetes Mellitus, Type 1"
LPP,"Diabetes Mellitus, Type 1"
HSPA1L,"Diabetes Mellitus, Type 1"
GNB3,"Diabetes Mellitus, Type 1"
AGTR2,"Diabetes Mellitus, Type 1"
CNDP2,"Diabetes Mellitus, Type 1"
TAGAP,"Diabetes Mellitus, Type 1"
SUOX,"Diabetes Mellitus, Type 1"
BTNL2,"Diabetes Mellitus, Type 1"
PHTF1,"Diabetes Mellitus, Type 1"
GSDMB,"Diabetes Mellitus, Type 1"
ADRB3,Diabetic Retinopathy
PON2,Diabetic Retinopathy
FABP3,"Diabetes Mellitus, Type 2"
CYP1A1,"Diabetes Mellitus, Type 2"
RXRG,"Diabetes Mellitus, Type 2"
KLF5,"Diabetes Mellitus, Type 2"
KLF2,"Diabetes Mellitus, Type 2"
KLF4,"Diabetes Mellitus, Type 2"
INSRR,"Diabetes Mellitus, Type 2"
UGT1A1,"Diabetes Mellitus, Type 2"
DBI,"Diabetes Mellitus, Type 2"
NPHS1,"Diabetes Mellitus, Type 2"
MPO,"Diabetes Mellitus, Type 2"
C4orf32,"Diabetes Mellitus, Type 2"
CXCR4,"Diabetes Mellitus, Type 2"
CSF2,"Diabetes Mellitus, Type 2"
SLCO1B1,"Diabetes Mellitus, Type 2"
PTPRD,"Diabetes Mellitus, Type 2"
ZFAND6,"Diabetes Mellitus, Type 2"
NOD2,"Diabetes Mellitus, Type 2"
IL12B,"Diabetes Mellitus, Type 2"
DGKB,"Diabetes Mellitus, Type 2"
ADH1B,"Diabetes Mellitus, Type 2"
LPIN2,"Diabetes Mellitus, Type 2"
HLA-E,"Diabetes, Gestational"
SLC2A10,"Diabetes Mellitus, Type 2"
IRS1,"Diabetes, Gestational"
AGT,Diabetic Angiopathies
TCF7L2,Diabetic Angiopathies
SOD1,Diabetic Angiopathies
LTA,Diabetes Complications
AKR1B1,Diabetes Complications
MPO,Diabetes Complications
ALDH2,"Diabetes Mellitus, Type 1"
SELE,Diabetic Retinopathy
HGF,"Diabetes Mellitus, Type 2"
PTPRS,"Diabetes Mellitus, Type 2"
ENPP1,Diabetes Mellitus
RENBP,Diabetes Mellitus
SLC2A4,Diabetes Mellitus
CD36,Diabetes
CTLA4,Diabetes
SLC2A4,Diabetes
SIRT1,Diabetes
SLC30A10,Diabetes
MAP4K2,Mason-Type Diabetes
INSR,Insulin resistance - type A
DPP4,"Diabetes Mellitus, Type 2"
LIPE,"Diabetes Mellitus, Type 2"
DIO2,Insulin Resistance
CYBA,Insulin Resistance
TH,Insulin Resistance
IGF1,Insulin Resistance
GCKR,Insulin Resistance
AGTR1,Insulin Resistance
G6PC2,Insulin Resistance
IGF2BP2,Insulin Resistance
CDKAL1,Insulin Resistance
APOA5,Insulin Resistance
SCARB1,Insulin Resistance
ABCG5,Insulin Resistance
VDR,Insulin Resistance
TGFB1,Insulin Resistance
STAT3,Insulin Resistance
SHBG,Insulin Resistance
PPARD,Insulin Resistance
APOB,Insulin Resistance
IL18,Insulin Resistance
ICAM1,Insulin Resistance
GNB3,Insulin Resistance
AGT,Insulin Resistance
ABCA1,Insulin Resistance
PDE4D,Diabetes Mellitus
CAMK1D,Diabetes Mellitus
PPARG,Diabetic Angiopathies
SOD2,Diabetic Angiopathies
PTGS2,Diabetes Complications
PPARG,Diabetes Complications
LPL,Diabetes Complications
MOK,Diabetes Complications
SOD2,Diabetes Complications
HLA-DQB1,Diabetic Ketoacidosis
NOS2,Diabetic Neuropathies
PON2,"Diabetes Mellitus, Type 1"
PADI4,"Diabetes Mellitus, Type 1"
NOTCH4,"Diabetes Mellitus, Type 1"
SMAD3,"Diabetes Mellitus, Type 1"
PSRC1,"Diabetes Mellitus, Type 1"
CLIC1,"Diabetes Mellitus, Type 1"
CARS,"Diabetes Mellitus, Type 1"
C6orf10,"Diabetes Mellitus, Type 1"
TYK2,"Diabetes Mellitus, Type 1"
TNXB,"Diabetes Mellitus, Type 1"
RGS1,"Diabetes Mellitus, Type 1"
GNB3,Diabetic Retinopathy
AR,Diabetic Retinopathy
HFE2,"Diabetes Mellitus, Type 2"
EPHX2,"Diabetes Mellitus, Type 2"
CASP9,"Diabetes Mellitus, Type 2"
KLF15,"Diabetes Mellitus, Type 2"
TPMT,"Diabetes Mellitus, Type 2"
KLF16,"Diabetes Mellitus, Type 2"
KIR2DL3,"Diabetes Mellitus, Type 2"
KIR2DS4,"Diabetes Mellitus, Type 2"
MS4A2,"Diabetes Mellitus, Type 2"
LTC4S,"Diabetes Mellitus, Type 2"
TRNR,"Diabetes Mellitus, Type 2"
TRNQ,"Diabetes Mellitus, Type 2"
ND4,"Diabetes Mellitus, Type 2"
ND2,"Diabetes Mellitus, Type 2"
COX1,"Diabetes Mellitus, Type 2"
IL5RA,"Diabetes Mellitus, Type 2"
GCLM,"Diabetes Mellitus, Type 2"
C5,"Diabetes Mellitus, Type 2"
SCGB1A1,"Diabetes Mellitus, Type 2"
CCL11,"Diabetes Mellitus, Type 2"
SCNN1A,"Diabetes Mellitus, Type 2"
MVK,"Diabetes Mellitus, Type 2"
MADD,"Diabetes Mellitus, Type 2"
SEC16B,"Diabetes Mellitus, Type 2"
APOC4,"Diabetes Mellitus, Type 2"
APOC1,"Diabetes Mellitus, Type 2"
ICAM4,"Diabetes Mellitus, Type 2"
ANGPTL3,"Diabetes Mellitus, Type 2"
ETV5,"Diabetes Mellitus, Type 2"
ERBB3,"Diabetes Mellitus, Type 2"
NAA25,"Diabetes Mellitus, Type 2"
IL23R,"Diabetes Mellitus, Type 2"
NYAP2,"Diabetes Mellitus, Type 2"
HLA-DRB4,"Diabetes, Gestational"
HLA-DQA1,"Diabetes, Gestational"
MMP2,Diabetes Mellitus
AIRE,"Diabetes Mellitus, Type 1"
CTSB,"Diabetes Mellitus, Type 2"
CDK5,"Diabetes Mellitus, Type 2"
IRS2,Diabetes Mellitus
OR10A4,Diabetes Mellitus
IRS2,Diabetes
SEC14L2,"Diabetes Mellitus, Type 1"
INS-IGF2,Diabetic Retinopathy
EHMT1,"Diabetes Mellitus, Type 2"
ZGLP1,"Diabetes Mellitus, Type 2"
BCHE,Diabetes Mellitus
ABCA1,Diabetes Mellitus
HSPD1,Diabetes Mellitus
TP53,Diabetes Mellitus
ACE,Proliferative diabetic retinopathy
HLA-DOA,"Diabetes Mellitus, Type 1"
ATF6,"Diabetes Mellitus, Type 2"
POMC,"Diabetes Mellitus, Type 2"
FFAR1,"Diabetes Mellitus, Type 2"
INSR,"Diabetes, Gestational"
IAPP,Diabetes
ENPP1,Diabetes
RENBP,Diabetes
RETN,Diabetes
LINC00914,"Diabetes Mellitus, Type 2"
MMP9,Diabetic Nephropathies
REG1A,"Diabetes Mellitus, Type 1"
AQP2,Diabetes Insipidus
LDLR,Diabetes Mellitus
PTPN22,Diabetes Mellitus
LTA,Diabetes Mellitus
MC4R,Diabetes Mellitus
GNB3,Diabetes Mellitus
ARNT,"Diabetes Mellitus, Type 2"
GSTK1,"Diabetes Mellitus, Type 2"
AQP2,Congenital nephrogenic diabetes insipidus
PDHX,Diabetes Mellitus
IL4,Diabetes
WFS1,Diabetes
INS-IGF2,Diabetic Ketoacidosis
CD59,"Diabetes Mellitus, Type 2"
WARS,"Diabetes Mellitus, Type 2"
MMP2,Diabetic Nephropathies
DCN,Diabetic Nephropathies
SGK1,Diabetic Nephropathies
IL2,Diabetes Mellitus
IGF2,Diabetes Mellitus
PCK1,Diabetes Mellitus
MTNR1B,Diabetes Mellitus
HLA-B,Diabetes Mellitus
FOXO1,Diabetes Mellitus
PPARGC1B,Diabetes Mellitus
ADH1B,Diabetes Mellitus
DCN,"Diabetes Mellitus, Type 1"
INSR,"Diabetes Mellitus, Type 1"
TCF7L2,"Diabetes Mellitus, Type 1"
HLA-DRB1,autoimmune diabetes
ISL1,"Diabetes Mellitus, Type 2"
PRKAB1,"Diabetes Mellitus, Type 2"
ACACB,"Diabetes Mellitus, Type 2"
MAF,"Diabetes Mellitus, Type 2"
CDKAL1,"Diabetes, Gestational"
MAP4K2,Diabetes Mellitus
UCP3,Diabetes Mellitus
HLA-A,Diabetes
GEM,"Diabetes Mellitus, Type 1"
PGC,"Diabetes Mellitus, Type 2"
MAP4K2,"Diabetes Mellitus, Type 2"
SLC14A2,"Diabetes Mellitus, Type 2"
ZBTB7C,"Diabetes Mellitus, Type 2"
DDIT3,Diabetes Mellitus
SPINK1,Diabetes Mellitus
SELE,Diabetes Mellitus
GHRL,Diabetes Mellitus
GPD1,"Diabetes Mellitus, Type 2"
TXNIP,"Diabetes Mellitus, Type 2"
CRP,"Diabetes, Gestational"
CCL5,Diabetes Mellitus
CYP27B1,Diabetic Nephropathies
LPL,Insulin resistance syndrome
BCL2,"Diabetes Mellitus, Type 1"
ITGAM,"Diabetes Mellitus, Type 1"
TADA1,"Diabetes Mellitus, Type 1"
HLA-DQB1,autoimmune diabetes
NAT2,"Diabetes Mellitus, Type 2"
RRAD,"Diabetes Mellitus, Type 2"
APOM,"Diabetes Mellitus, Type 2"
MT2A,"Diabetes Mellitus, Type 2"
LPA,"Diabetes Mellitus, Type 2"
LCP1,"Diabetes Mellitus, Type 2"
CXCL8,"Diabetes Mellitus, Type 2"
HSPA1A,"Diabetes Mellitus, Type 2"
DDIT3,"Diabetes Mellitus, Type 2"
SERPINA12,"Diabetes Mellitus, Type 2"
TP53,"Diabetes Mellitus, Type 2"
PIK3CA,"Diabetes Mellitus, Type 2"
MYH9,"Diabetes Mellitus, Type 2"
MAPK8,"Diabetes Mellitus, Type 2"
FABP1,"Diabetes Mellitus, Type 2"
DUSP9,"Diabetes Mellitus, Type 2"
CRY2,"Diabetes Mellitus, Type 2"
CNR1,"Diabetes Mellitus, Type 2"
SLC12A3,"Diabetes Mellitus, Type 2"
KLF14,"Diabetes Mellitus, Type 2"
PPARG,Prediabetic State
ACP1,Diabetes Mellitus
GLO1,Diabetes Mellitus
LMNA,Diabetes Mellitus
MMP9,Diabetes Mellitus
EHMT1,Diabetes Mellitus
ZGLP1,Diabetes Mellitus
LINC00914,Diabetes Mellitus
ACP1,Diabetes
AGTR1,Diabetes
AKR1B1,Diabetes
EDN1,Diabetes
FN1,Diabetes
IFNG,Diabetes
IL10,Diabetes
PTPN1,Diabetes
MAP4K2,Diabetes
UCP3,Diabetes
PDHX,Diabetes
CDKAL1,Diabetes
EHMT1,Diabetes
ZGLP1,Diabetes
SLC30A10,"Diabetes Mellitus, Type 2"
TXN,Diabetes Mellitus
MT1A,Diabetes Mellitus
KIR2DS2,Diabetes Mellitus
BGLAP,Diabetes Mellitus
FXN,Diabetes Mellitus
IL18,Diabetic Nephropathies
THG1L,Diabetic Nephropathies
XYLT2,Diabetic Nephropathies
PON1,Diabetic Nephropathies
ARHGAP4,"Diabetes Insipidus, Nephrogenic"
CD1D,"Diabetes Mellitus, Type 1"
ABCG1,"Diabetes Mellitus, Type 2"
VIMP,"Diabetes Mellitus, Type 2"
SLC29A1,"Diabetes, Gestational"
MMP3,Diabetes Mellitus
PRKAB1,Diabetes Mellitus
PRKAA2,Diabetes Mellitus
PRKAA1,Diabetes Mellitus
PCK2,Diabetes Mellitus
MYH9,Diabetes Mellitus
APOA4,Diabetes Mellitus
PGM1,Diabetes Mellitus
INS,Diabetic Angiopathies
KNG1,Diabetic Nephropathies
MMP3,Diabetic Nephropathies
TBP,"Diabetes Mellitus, Type 1"
THY1,"Diabetes Mellitus, Type 1"
LRP5,"Diabetes Mellitus, Type 1"
NFKBIA,"Diabetes Mellitus, Type 1"
PRSS16,"Diabetes Mellitus, Type 1"
CIITA,"Diabetes Mellitus, Type 1"
HSPA1B,"Diabetes Mellitus, Type 1"
HSPA1A,"Diabetes Mellitus, Type 1"
MMP9,Diabetic Retinopathy
SDS,Diabetic Retinopathy
INSR,Insulin resistant diabetes
CLPS,"Diabetes Mellitus, Type 2"
PDK4,"Diabetes Mellitus, Type 2"
KCNJ9,"Diabetes Mellitus, Type 2"
VLDLR,"Diabetes Mellitus, Type 2"
PVT1,"Diabetes Mellitus, Type 2"
NR1H3,"Diabetes Mellitus, Type 2"
MC3R,"Diabetes Mellitus, Type 2"
CHI3L1,"Diabetes Mellitus, Type 2"
WNT5B,"Diabetes Mellitus, Type 2"
TFAM,"Diabetes Mellitus, Type 2"
RARRES2,"Diabetes Mellitus, Type 2"
POU2F1,"Diabetes Mellitus, Type 2"
NPC1,"Diabetes Mellitus, Type 2"
KCNJ15,"Diabetes Mellitus, Type 2"
TSC22D1,"Diabetes Mellitus, Type 2"
IGFBP3,"Diabetes Mellitus, Type 2"
FABP4,"Diabetes Mellitus, Type 2"
DDAH2,"Diabetes Mellitus, Type 2"
MLXIPL,"Diabetes Mellitus, Type 2"
ABCA4,"Diabetes Mellitus, Type 2"
ABCC8,"Diabetes, Gestational"
ACP1,"Diabetes, Gestational"
ADRB3,"Diabetes, Gestational"
CTGF,Diabetes Mellitus
EEF1A2,Diabetes Mellitus
PER1,Diabetes Mellitus
PGAP3,Diabetes Mellitus
PPIAP10,Diabetes Mellitus
AGER,Diabetes
EEF1A2,Diabetes
HFE,Diabetes
IDE,Diabetes
IL1B,Diabetes
LMNA,Diabetes
NEUROD1,Diabetes
PER1,Diabetes
CCL2,Diabetes
TXNIP,Diabetes
PGAP3,Diabetes
PPIAP10,Diabetes
NEUROD1,Mason-Type Diabetes
GCG,"Diabetes Mellitus, Type 1"
REN,"Diabetes Mellitus, Type 1"
MAP4K5,"Diabetes Mellitus, Type 2"
EXOSC4,"Diabetes Mellitus, Type 2"
GGT1,Diabetes Mellitus
HSPA1A,Diabetes Mellitus
IL13,Diabetes Mellitus
MPO,Diabetes Mellitus
ICAM1,Diabetes Mellitus
CYP2C9,Diabetes Mellitus
LPA,Diabetes Mellitus
AKT2,Diabetes Mellitus
AHSG,Diabetes Mellitus
TNFSF10,Diabetic Nephropathies
ADM,Diabetic Nephropathies
CALD1,Diabetic Nephropathies
IGF1,Diabetic Nephropathies
TNFRSF11B,Diabetic Nephropathies
TSC22D1,Diabetic Nephropathies
KLF6,Diabetic Nephropathies
CD74,Diabetic Nephropathies
CXCL8,"Diabetes Mellitus, Type 1"
APOA1,Diabetic Retinopathy
TIMP3,Diabetic Retinopathy
SST,Diabetic Retinopathy
TNFSF10,"Diabetes Mellitus, Type 2"
SHBG,"Diabetes, Gestational"
ND1,Diabetes Mellitus
IL6R,Diabetes Mellitus
ESR1,Diabetes Mellitus
PKLR,Diabetes Mellitus
ADH1C,Diabetes Mellitus
MAFA,Diabetes Mellitus
CASQ1,Diabetes Mellitus
USF1,Diabetes Mellitus
STK11,Diabetes Mellitus
PTPRD,Diabetes Mellitus
GATA3,Diabetes Mellitus
EDN1,Diabetic Nephropathies
SLC2A2,Diabetic Nephropathies
ENTPD1,Diabetic Nephropathies
PVT1,Diabetic Nephropathies
HFE,Diabetic Nephropathies
CCR1,Diabetic Nephropathies
FRMD3,Diabetic Nephropathies
ERBB4,Diabetic Nephropathies
CALD1,"Diabetes Mellitus, Type 1"
TLR3,"Diabetes Mellitus, Type 1"
TNFRSF1A,"Diabetes Mellitus, Type 1"
XYLT1,"Diabetes Mellitus, Type 1"
CD274,"Diabetes Mellitus, Type 1"
CYP24A1,"Diabetes Mellitus, Type 1"
RUNX1,"Diabetes Mellitus, Type 1"
KIF5A,"Diabetes Mellitus, Type 1"
IDE,"Diabetes Mellitus, Type 1"
DDX39B,"Diabetes Mellitus, Type 1"
APOM,"Diabetes Mellitus, Type 1"
TXN,"Diabetes Mellitus, Type 1"
PRKCSH,"Diabetes Mellitus, Type 1"
MIF,"Diabetes Mellitus, Type 1"
SIAE,"Diabetes Mellitus, Type 1"
ACE2,"Diabetes Mellitus, Type 1"
TBX21,"Diabetes Mellitus, Type 1"
IL2RB,"Diabetes Mellitus, Type 1"
SLC2A1,Diabetic Retinopathy
TGFB1,Diabetic Retinopathy
APOD,"Diabetes Mellitus, Type 2"
REG1A,"Diabetes Mellitus, Type 2"
PDE3B,"Diabetes Mellitus, Type 2"
IGF2R,"Diabetes Mellitus, Type 2"
ONECUT1,"Diabetes Mellitus, Type 2"
ALX4,"Diabetes Mellitus, Type 2"
PREX1,"Diabetes Mellitus, Type 2"
APPL1,"Diabetes Mellitus, Type 2"
ALOX12,"Diabetes Mellitus, Type 2"
CNDP2,"Diabetes Mellitus, Type 2"
GPBAR1,"Diabetes Mellitus, Type 2"
PARL,"Diabetes Mellitus, Type 2"
CCR2,"Diabetes Mellitus, Type 2"
SIRT3,"Diabetes Mellitus, Type 2"
BMP4,"Diabetes Mellitus, Type 2"
RUNX2,"Diabetes Mellitus, Type 2"
SRR,"Diabetes Mellitus, Type 2"
MMP2,"Diabetes Mellitus, Type 2"
ALOX5,"Diabetes Mellitus, Type 2"
DDAH1,"Diabetes Mellitus, Type 2"
FRMD3,"Diabetes Mellitus, Type 2"
DOK5,"Diabetes Mellitus, Type 2"
TH,"Diabetes Mellitus, Type 2"
TFRC,"Diabetes Mellitus, Type 2"
SNAP23,"Diabetes Mellitus, Type 2"
SLC27A4,"Diabetes Mellitus, Type 2"
ARHGEF12,"Diabetes Mellitus, Type 2"
SDS,"Diabetes Mellitus, Type 2"
HDAC9,"Diabetes Mellitus, Type 2"
PTPRU,"Diabetes Mellitus, Type 2"
ANK1,"Diabetes Mellitus, Type 2"
IGF2,"Diabetes, Gestational"
SERPINE1,"Diabetes, Gestational"
IL10,"Diabetes, Gestational"
ADA,Diabetes Mellitus
CSRP1,Diabetes Mellitus
DPP4,Diabetes Mellitus
GCNT2,Diabetes Mellitus
GLUL,Diabetes Mellitus
NFE2L2,Diabetes Mellitus
SLC2A2,Diabetes Mellitus
EXOSC4,Diabetes Mellitus
CSRP1,Diabetes
CTGF,Diabetes
DPP4,Diabetes
GLO1,Diabetes
LPL,Diabetes
NFE2L2,Diabetes
EXOSC4,Diabetes
ADIPOR2,Diabetes
IFNAR1,"Diabetes Insipidus, Neurogenic"
