geneSymbol,diseaseName
HMOX1,"Diabetes Mellitus, Experimental"
ICAM1,"Diabetes Mellitus, Experimental"
IFNG,"Diabetes Mellitus, Experimental"
IGF1,"Diabetes Mellitus, Experimental"
IL1B,"Diabetes Mellitus, Experimental"
IL6,"Diabetes Mellitus, Experimental"
INSR,"Diabetes Mellitus, Experimental"
IRS1,"Diabetes Mellitus, Experimental"
KCNJ11,"Diabetes Mellitus, Experimental"
MMP9,"Diabetes Mellitus, Experimental"
MPO,"Diabetes Mellitus, Experimental"
NOS2,"Diabetes Mellitus, Experimental"
NOS3,"Diabetes Mellitus, Experimental"
PCK1,"Diabetes Mellitus, Experimental"
PCSK2,"Diabetes Mellitus, Experimental"
PDX1,"Diabetes Mellitus, Experimental"
PKLR,"Diabetes Mellitus, Experimental"
PPARG,"Diabetes Mellitus, Experimental"
PPARGC1A,"Diabetes Mellitus, Experimental"
PRKCD,"Diabetes Mellitus, Experimental"
PTGS2,"Diabetes Mellitus, Experimental"
RELA,"Diabetes Mellitus, Experimental"
SIRT1,"Diabetes Mellitus, Experimental"
SLC2A2,"Diabetes Mellitus, Experimental"
SLC2A4,"Diabetes Mellitus, Experimental"
SLC9A3,"Diabetes Mellitus, Experimental"
SOD1,"Diabetes Mellitus, Experimental"
SOD2,"Diabetes Mellitus, Experimental"
SREBF1,"Diabetes Mellitus, Experimental"
TGFB1,"Diabetes Mellitus, Experimental"
TIMP1,"Diabetes Mellitus, Experimental"
TNF,"Diabetes Mellitus, Experimental"
TNFRSF1A,"Diabetes Mellitus, Experimental"
UCP2,"Diabetes Mellitus, Experimental"
VEGFA,"Diabetes Mellitus, Experimental"
CASP3,Diabetic Neuropathies
INSR,Diabetic Neuropathies
TGFB1,Diabetic Neuropathies
CASP12,"Diabetes Mellitus, Type 1"
THBS1,Diabetic Retinopathy
PTPN22,"Diabetes Mellitus, Type 1"
TNF,"Diabetes Mellitus, Type 1"
VEGFA,Diabetic Retinopathy
KCNJ11,"Diabetes Mellitus, Type 2"
FTO,"Diabetes Mellitus, Type 2"
SLC30A8,"Diabetes Mellitus, Type 2"
KCNQ1,"Diabetes Mellitus, Type 2"
HHEX,"Diabetes Mellitus, Type 2"
WFS1,"Diabetes Mellitus, Type 2"
JAZF1,"Diabetes Mellitus, Type 2"
IAPP,"Diabetes Mellitus, Type 2"
VEGFA,"Diabetes Mellitus, Type 2"
PPARG,Insulin Resistance
ADAMTS9,"Diabetes Mellitus, Type 2"
THADA,"Diabetes Mellitus, Type 2"
IL2RA,"Diabetes Mellitus, Type 1"
NOTCH2,"Diabetes Mellitus, Type 2"
MTNR1B,"Diabetes Mellitus, Type 2"
PPARG,Diabetes Mellitus
GCKR,"Diabetes Mellitus, Type 2"
SLC2A1,"Diabetes Mellitus, Type 2"
NOS3,Diabetic Nephropathies
CLEC16A,"Diabetes Mellitus, Type 1"
PPARA,"Diabetes Mellitus, Type 2"
AGT,Diabetic Nephropathies
IL10,"Diabetes Mellitus, Type 1"
GCK,Mason-Type Diabetes
GCG,"Diabetes Mellitus, Type 2"
GNB3,"Diabetes Mellitus, Type 2"
TGFB1,"Diabetes Mellitus, Type 2"
PTPN1,"Diabetes Mellitus, Type 2"
CNDP1,Diabetic Nephropathies
SOD2,"Diabetes Mellitus, Type 2"
VEGFA,Diabetic Nephropathies
