geneSymbol,diseaseName
MLLT10,Pulmonary Emphysema
LTBP4,Pulmonary Emphysema
NR1I2,Pulmonary Emphysema
ARHGEF7,Pulmonary Emphysema
NREP,Pulmonary Emphysema
PPT2,Pulmonary Emphysema
KEAP1,Pulmonary Emphysema
LRPPRC,Pulmonary Emphysema
FAM13A,Pulmonary Emphysema
FBLN5,Pulmonary Emphysema
CXCL13,Pulmonary Emphysema
ATP6V0A2,Pulmonary Emphysema
CADM1,Pulmonary Emphysema
IL17RA,Pulmonary Emphysema
WWTR1,Pulmonary Emphysema
HPGDS,Pulmonary Emphysema
DEXI,Pulmonary Emphysema
SMARCAL1,Pulmonary Emphysema
FOXP3,Pulmonary Emphysema
ASCC1,Pulmonary Emphysema
PI15,Pulmonary Emphysema
DDIT4,Pulmonary Emphysema
MAN1C1,Pulmonary Emphysema
SLC52A2,Pulmonary Emphysema
CLPTM1L,Pulmonary Emphysema
CDT1,Pulmonary Emphysema
SESN2,Pulmonary Emphysema
DBA2,Pulmonary Emphysema
RBM45,Pulmonary Emphysema
PWAR1,Pulmonary Emphysema
MIR34C,Pulmonary Emphysema
MIR133B,Pulmonary Emphysema
INS-IGF2,Pulmonary Emphysema
LINC00914,Pulmonary Emphysema
SERPINA1,Obstructive emphysema
PLAGL2,Centriacinar emphysema
SFTPC,Centriacinar emphysema
SET,Emphysema or COPD
ADCY2,Severe chronic obstructive pulmonary disease
FAS,Severe chronic obstructive pulmonary disease
CHIT1,Severe chronic obstructive pulmonary disease
CHRNA3,Severe chronic obstructive pulmonary disease
EPHX1,Severe chronic obstructive pulmonary disease
MSTN,Severe chronic obstructive pulmonary disease
GSTM1,Severe chronic obstructive pulmonary disease
GSTM2,Severe chronic obstructive pulmonary disease
GZMA,Severe chronic obstructive pulmonary disease
IREB2,Severe chronic obstructive pulmonary disease
CD46,Severe chronic obstructive pulmonary disease
MRC1,Severe chronic obstructive pulmonary disease
MSR1,Severe chronic obstructive pulmonary disease
PIGR,Severe chronic obstructive pulmonary disease
