drug_name,gene_name
TRANDOLAPRIL,ACE
GOLIMUMAB,TNF
CARVEDILOL,ADRA1D
PINDOLOL,ADRB2
PROCATEROL,ADRB2
PI3K P110BETA/DELTA INHIBITOR KA2237,PIK3CG
ANTI-MET MONOCLONAL ANTIBODY MIXTURE SYM015,MET
NEBENTAN,EDNRA
SILTUXIMAB,IL6
LENVATINIB MESYLATE,KDR
CARMOTEROL,ADRB2
ATIPRIMOD,STAT3
KU-60019,ATM
THR-18,SERPINE1
ANLOTINIB,KDR
CAPMATINIB,MET
SAMOTOLISIB,PIK3CD
BATEFENTEROL,ADRB2
MODAFINIL,ADRA1D
APRICOXIB,PTGS2
EPERISONE,CAV1
"L-775,606",A2M
STX-100,ITGAV
LP-44,SERPINA3
CLOZAPINE,SERPINA3
XANOMELINE,SERPINA3
ZIPRASIDONE,SERPINA3
PSB1115,ABCA3
NICARDIPINE,ABCA3
THEOPHYLLINE,ABCA3
MRS1476,ABCA3
WNY0824,GCLC
VBY-825,FOS
CLAZAKIZUMAB,IL6
BAMOCAFTOR,CFTR
KAEMPHEROL,CYP2A13
TRICHOSTATIN A,MSTN
EDRECOLOMAB,EPCAM
COMPOUND 15 [PMID: 25313322],ADARB2
ISOXSUPRINE HYDROCHLORIDE,ADRA1D
ABSCISIC ACID,HGF
TB-403,PGF
IDELALISIB,PIK3CB
RV6153,PIK3CB
TG-100-115,PIK3CB
"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE",PIK3CB
SRT-2104,SIRT1
COMPOUND 23 [PMID: 35816678],CX3CR1
PHI,ARCN1
CETUXIMAB,MET
CETUXIMAB,TP53
PANITUMUMAB,CDKN2A
TENALISIB,PIK3CG
CETUXIMAB,CDKN2A
VEMURAFENIB,CDKN2A
DABRAFENIB,CDKN2A
OLVEREMBATINIB,FGFR2
ALPELISIB,FGFR2
NAVITOCLAX,FGFR2
CARBOPLATIN,KEAP1
DABRAFENIB,PIK3CA
PERIFOSINE,PIK3CA
BRAFV600/PI3K INHIBITOR ASN003,PIK3CA
FENAMIDONE,NFE2L2
REBIMASTAT,MMP14
REBIMASTAT,MMP1
TIPIFARNIB,PIK3CA
CHEMBL:CHEMBL1801219,TP53
OMIPALISIB,PIK3CD
ASPIRIN,HLA-DRB1
OMIPALISIB,PIK3CB
PI3K/MTOR KINASE INHIBITOR PF-04691502,PIK3CB
TANNIN PYROGALLOL,NFE2L2
ATROPINE,F2R
ARFORMOTEROL,ADRB2
ESCULETIN,HIF1A
GW7647,HIF1A
BENZO(K)FLUORANTHENE,NFE2L2
CP-547632,KDR
BRIVANIB,FGFR2
RIBAVIRIN,MMP1
CURCUMIN PYRAZOLE,MMP9
"2,4,6-TRIBROMOPHENOL",NFE2L2
PACLITAXEL,PIK3CG
APITEGROMAB,MSTN
CHEMBL:CHEMBL202243,PPARG
CHEMBL:CHEMBL1098875,NFE2L2
BUTINOLINE,JUN
DERAZANTINIB,FGFR2
PHENTOLAMINE MESYLATE,NFE2L2
OPHIOBOLIN O,MAPK3
CHEMBL:CHEMBL578061,MARK2
CISPLATIN,GSTT1
ADENOVIRUS VECTOR,PIK3CG
DOPAMINE,ADRA1D
CHEMBL:CHEMBL312032,PPARG
HALOFUGINONE,TNF
PAXALISIB,PIK3CG
LY-294002,NFE2L2
PARP/TANKYRASE INHIBITOR 2X-121,ATM
COPANLISIB,PIK3CA
ALPELISIB,TP53
IBRUTINIB,SMAD3
PRINOMASTAT,MMP9
BOSENTAN ANHYDROUS,EDNRA
DS-7423,PIK3CD
VUF5574,ABCA3
PSAMMAPLIN A,PPARG
RILOTUMUMAB,HGF
CELECOXIB,VEGFA
BENODANIL,NFE2L2
PRASTERONE,NOS1
CLOZAPINE,GSTT1
AUTOLOGOUS DENDRITIC CELLS TRANSDUCED WITH WILD-TYPE P53 ADENOVIRUS VACCINE,TP53
COMPOUND 1 [PMID: 24900526],ACE
PD173074,FGFR2
E-101 SOLUTION,MPO
BRONCHODILATOR,ADRB2
ROCILETINIB,MET
PYRAZINAMIDE,FAS
OXYPHENBUTAZONE,PTGS2
CHEMBL:CHEMBL581880,NFE2L2
METHYLTHIONINIUM CHLORIDE,SMAD3
SF-1126,PIK3CD
HENATINIB,KDR
INT131,PPARG
FRUQUINTINIB,KDR
PF-04691502,PIK3CD
PILARALISIB,PIK3CB
PILARALISIB,PIK3CG
TG100-801,KDR
BARDOXOLONE METHYL,IKBKB
BARDOXOLONE METHYL,NFE2L2
ALEPLASININ,SERPINE1
ALPRENOLOL,ADRB2
ICI-118551,ADRB2
EMIBETUZUMAB,MET
BENZYDAMINE HYDROCHLORIDE,PTGS2
CNTO-5825,IL13
CD40 LIGAND,CD40
VERDIPERSTAT,MPO
SIREMADLIN,TP53
CHEMBL:CHEMBL29197,MAPK3
PERMETHRIN,ATM
ANTIMYCIN A,NFE2L2
CHEMBL:CHEMBL579837,SMAD3
IOXYNIL,NFE2L2
BAICALEIN,TP53
"DIBENZ[A,H]ANTHRACENE",HIF1A
ETICLOPRIDE,HIF1A
THEONELLASTEROL H,NR1I2
NITROXOLINE,NFE2L2
ANGUIDIN,NFE2L2
LITHOCHOLIC ACID,NR1I2
BENZBROMARONE,HIF1A
"2-METHOXY-1,4-NAPHTHOQUINONE",NFE2L2
CHEMBL:CHEMBL114544,SMAD3
AZD-1080,MARK2
BRONOPOL,NFE2L2
CARTEOLOL,ADRB2
"1,4-DICHLOROBENZENE",CASP3
CHEMBL:CHEMBL547269,NFE2L2
PROCHLORAZ,PPARG
CHEMBL:CHEMBL1528359,HIF1A
UCCF-029,NFE2L2
"2-METHOXY-1,4-NAPHTHOQUINONE",SMAD3
GALLIC ACID,TP53
HEXACHLOROPHENE,SMAD3
CHEMBL:CHEMBL191611,SMAD3
BREFELDIN A,SMAD3
GAMBOGIC AMIDE,MAPK3
TRIAMTERENE,TP53
CHEMBL:CHEMBL599943,NFE2L2
PROPYLPARABEN,PPARG
ATORVASTATIN CALCIUM TRIHYDRATE,NFE2L2
GO-6976,KDR
PATULIN,JUN
APIGENIN,NFKB1
LORATADINE,HIF1A
CHEMBL:CHEMBL599943,TP53
CHELERYTHRINE,NFKB1
PHA-767491,MARK2
CHEMBL:CHEMBL1256291,HIF1A
DEMETHOXYCURCUMIN,SMAD3
2-PHENYLPHENOL,PPARG
CHEMBL:CHEMBL271023,TP53
GITOXIN,NFE2L2
CHEMBL:CHEMBL77675,NFE2L2
FENOFIBRIC ACID,PPARG
CHEMBL:CHEMBL1254091,TERT
CHEMBL:CHEMBL601353,NFE2L2
NIZOFENONE,NFE2L2
MECHLORETHAMINE HYDROCHLORIDE,NFE2L2
TRIBROMOACETIC ACID,NFE2L2
2-PHENYLPHENOL,NFE2L2
METHANESULFONIC ACID METHYL ESTER,NFE2L2
CHEMBL:CHEMBL2208197,PPARG
CHEMBL:CHEMBL255683,SIRT1
CHEMBL:CHEMBL588038,NFE2L2
PICONOL,NFE2L2
CHEMBL:CHEMBL601311,SMAD3
DOCEBENONE,NFE2L2
ISOETHARINE MESYLATE,HIF1A
MERCAPTOPURINE,NFE2L2
2-CHLOROADENOSINE,TP53
CHEMBL:CHEMBL77675,SMAD3
CHEMBL:CHEMBL602922,TP53
BECLOMETHASONE DIPROPIONATE,NFE2L2
CLOTRIMAZOLE,JUN
CHEMBL:CHEMBL584668,CASP3
CHEMBL:CHEMBL259421,TP53
"DIBENZ[A,H]ANTHRACENE",NFE2L2
CHEMBL:CHEMBL578929,NFE2L2
PIROCTONE,SMAD3
DIENESTROL,ADRB2
MITONAFIDE,SMAD3
GEDATOLISIB,PIK3CB
GEDATOLISIB,PIK3CG
CYPROTERONE ACETATE,ADRA1D
TETANUS TOXOID,CD40
FLUOROURACIL,CDKN1A
NICOTINE POLACRILEX,CDKN1A
FREUND'S ADJUVANT,CX3CL1
BUTYRIC ACID,FAS
PACLITAXEL,FOS
PREDNISONE,GSTP1
SELENOMETHIONINE,GSTP1
HEPARIN,HGF
PANCREATIC PROTEOLYTIC ENZYMES,HGF
ZINC CHLORIDE,HMOX1
PRASTERONE,MAPK3
PRAVASTATIN SODIUM,MMP2
MITOGEN-ACTIVATED PROTEIN KINASE INHIBITOR,NFE2L2
DIURETIC,NOS1
CIMETIDINE,NOS1
PENICILLIN,NOS1
RETINOIC ACID AGENT,PIK3CA
PRASTERONE,PIK3CA
"BENZO(A)PYRENE-7,8-DIOL 9,10-EPOXIDE",PIK3CG
CHEMBL:CHEMBL1406948,SMAD3
IH636 GRAPE SEED PROANTHOCYANIDIN EXTRACT,PIK3CB
SURAMIN,PIK3CB
PROTEASOME INHIBITOR,PIK3CB
ARSENIC TRIOXIDE,TERT
INTERFERON ALFA-2B,TGFB1
TAMOXIFEN,TGFB1
HYDROXYCHLOROQUINE,TNF
MEROPENEM ANHYDROUS,TNF
METHYLPREDNISOLONE,TP53
THIOTEPA,TP53
CHEMBL:CHEMBL546797,MET
