drug_name,gene_name
CHEMBL:CHEMBL481161,TERT
LETROZOLE,CDKN2A
CHEMBL:CHEMBL1927670,MAOB
BRIAKINUMAB,IL23A
ZALUNFIBAN,ITGA2B
ETHACRYNIC ACID,NFE2L2
SRT2104,SIRT1
SILVER SULFADIAZINE,ALOX15
SERTINDOLE,ALDH2
DACINOSTAT,MSTN
EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR,EGFR
CYCLOHEXIMIDE,HSP90AA1
GUGGULSTERONE,HSPB1
TICLOPIDINE HYDROCHLORIDE,P2RY12
ORBIFLOXACIN,AR
CHEMBL:CHEMBL530664,STAT3
E4031,CYP2D6
CHEMBL:CHEMBL578675,NFE2L2
OLAPARIB,BRCA1
DOXACURIUM CHLORIDE,CHRM2
PLOZALIZUMAB,CCR2
URACIL,DPYD
BAY 61-3606,PRKD2
DACTOLISIB,PIK3C2A
LORAZEPAM,APOE
AMLODIPINE BESYLATE,CACNA1C
MOFAROTENE,RXRG
2-(2'-METHOXYPHENYL)-1H-INDOLE,SMN2
CASOXIN C,ACACA
AZD8835,F5
METHOTRIMEPRAZINE,DRD3
CLOZAPINE,DRD2
CERITINIB,INSR
VORICONAZOLE,RELA
SERTINDOLE,KCNH2
ANGIOGENESIS INHIBITOR,CCL21
PENTOXIFYLLINE,GFAP
ROFLUMILAST,PDE4A
MASITINIB,PTK2B
MESTANOLONE,AR
CHEMBL:CHEMBL255300,OPRM1
ANTI-CD40 MONOCLONAL ANTIBODY CHI LOB 7/4,CD40LG
PROTOKYLOL HYDROCHLORIDE,ADRB1
DECAMETHONIUM,ARSA
XYLAZINE,AOC1
[125I]SAUVAGINE (FROG),ALB
MEPIVACAINE HYDROCHLORIDE,G6PD
CYPROHEPTADINE HYDROCHLORIDE,ABCA4
PHENYLEPHRINE,PIK3CG
BUSULFAN,CYP2C19
GUGGULSTERONE,AR
RETINOIC ACID AGENT,CYP27A1
ANTIDEPRESSANT AGENT,GDNF
THEOPHYLLINE SODIUM GLYCINATE,PDE4A
SULPIRIDE,DRD2
PARTHENOLIDE,NFKB1
CHLORMEZANONE,TSPO
TAMOXIFEN,MUC16
N(6)-CYCLOHEXYLADENOSINE,ABCA1
HT-0712,PDE4A
FR122047,CPT1B
PERICIAZINE,ADRA1D
CRIZOTINIB,ALK
GO-6976,TYK2
R116031,AQP3
ORANTINIB,KDR
FLUOROURACIL,KEAP1
E324,CYP1A2
NITROXOLINE,PPARD
DIMETHYLFORMAMIDE,RXRA
TRIAZENE COMPOUND,MGMT
OXYPHENBUTAZONE,CYP3A4
ANTICONVULSANT AGENT,ABCB1
VOXTALISIB,PIK3C3
BITHIONOLATE SODIUM,CYP3A4
DIHYDROSPHINGOSINE,IL6
PASIREOTIDE,SSTR3
CHEMBL:CHEMBL408850,TP53
CLOFAZIMINE,CYP2D6
KOS-1584,TUBB3
NAVITOCLAX,PIK3CA
AMITRIPTYLINE HYDROCHLORIDE,DRD1
CHEMBL:CHEMBL101510,CYP2D6
HSD1590,CTRB1
CLINDAMYCIN,RPSA
LY-2090314,PRKAA1
IDARUBICIN,NQO1
PD-0166285,FGFR1
FLUOROURACIL,ALCAM
ACETAZOLAMIDE,CA2
CXCL12-(1-17),ACTG1
TARIQUIDAR,ABCB1
CHEMBL:CHEMBL86464,GLP1R
CHEMBL:CHEMBL408563,SMN1
LEVOFLOXACIN ANHYDROUS,IL6
DCG-IV,SLC25A4
MARIMASTAT,DCC
VAPITADINE,HRH1
METIPRANOLOL,ADRB1
PRX-08066,HTR2B
DOMPERIDONE,DRD2
AFT-II,BBS1
KETANSERIN,CDH13
ADEFOVIR DIPIVOXIL,NFE2L2
FLUOROURACIL,ABCG1
PRAVASTATIN SODIUM,CYP3A4
PHENYTOIN SODIUM,MTHFR
ESZOPICLONE,TSPO
VACCINE,PTPRC
MELATONIN,IL1B
LABETALOL,ADRA1A
GSK2982772,RIPK1
MERCAPTOPURINE,HPRT1
DACTOLISIB,PTEN
ANDROGEN RECEPTOR ANTAGONIST ONC1-0013B,AR
MASOPROCOL,CYP2C19
"INSULIN, REGULAR, HUMAN",EDN1
VINCRISTINE SULFATE,TUBB4B
HYDROCORTISONE SODIUM PHOSPHATE,NR3C1
CODEINE ANHYDROUS,OPRM1
DACTOLISIB,ACVR1
GEDATOLISIB,PIK3CD
NMRA-140,APOF
TETRACYCLINE,HSP90AA1
MONOCILLIN I,HSP90AA1
